,STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
46,3451.0,3.0,1.0,47.0,1.0,93.0,31929.0,7.0,1.0,67.8318,1785.0,215.0,54.0,161.0,5.0,10.0,5.0,33.0,18.0,133.0,6.0,3.0,248.0,45.0,138.0,5.397605346934028e-79,21.0,33.0,5.0,5.397605346934028e-79,5.0,149.0,6.0,1.0,2.0,3.0,5.397605346934028e-79,143.0,11.0,78.0,45.0,9.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,26.0,150.0,125.0,115.0,36.0,1.0,470.0,5.397605346934028e-79,1.0,1.0
47,3451.0,3.0,1.0,48.0,1.0,95.0,82905.0,6.0,1.0,18.6611,6364.0,666.0,177.0,489.0,8.0,8.0,25.0,137.0,72.0,389.0,24.0,4.0,682.0,52.0,324.0,5.397605346934028e-79,45.0,64.0,38.0,1.0,14.0,326.0,19.0,4.0,9.0,3.0,2.0,307.0,41.0,235.0,22.0,9.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,45.0,627.0,537.0,383.0,107.0,2.0,2443.0,5.397605346934028e-79,4.0,2.0
48,3451.0,3.0,1.0,49.0,1.0,97.0,399843.0,12.0,5.397605346934028e-79,30.8696,15240.0,3103.0,911.0,2192.0,64.0,36.0,215.0,596.0,385.0,1621.0,170.0,16.0,2688.0,151.0,537.0,9.0,187.0,277.0,262.0,45.0,33.0,2425.0,107.0,61.0,24.0,9.0,13.0,2317.0,947.0,1334.0,34.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79,5.0,254.0,1172.0,218.0,439.0,423.0,53.0,2648.0,1.0,3.0,309.0
49,3451.0,3.0,1.0,50.0,1.0,99.0,24324.0,2.0,5.397605346934028e-79,100.0,949.0,194.0,118.0,76.0,3.0,1.0,10.0,104.0,14.0,56.0,6.0,5.397605346934028e-79,137.0,8.0,62.0,5.397605346934028e-79,5.0,17.0,7.0,5.397605346934028e-79,5.397605346934028e-79,61.0,1.0,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79,60.0,13.0,45.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,13.0,120.0,39.0,38.0,10.0,5.397605346934028e-79,238.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
50,3451.0,3.0,1.0,51.0,1.0,101.0,223510.0,10.0,5.397605346934028e-79,100.0,4899.0,1228.0,343.0,885.0,31.0,49.0,113.0,150.0,183.0,640.0,61.0,1.0,582.0,144.0,204.0,2.0,41.0,100.0,117.0,5.397605346934028e-79,32.0,555.0,32.0,21.0,6.0,2.0,3.0,523.0,104.0,387.0,6.0,26.0,7.0,5.397605346934028e-79,5.397605346934028e-79,7.0,19.0,89.0,33.0,20.0,17.0,5.397605346934028e-79,1206.0,5.397605346934028e-79,5.397605346934028e-79,503.0
51,3451.0,3.0,1.0,52.0,1.0,103.0,111147.0,8.0,5.397605346934028e-79,2.8611,6909.0,805.0,209.0,596.0,9.0,13.0,38.0,150.0,87.0,476.0,30.0,3.0,903.0,65.0,419.0,1.0,67.0,71.0,44.0,2.0,12.0,457.0,26.0,11.0,6.0,7.0,2.0,431.0,69.0,334.0,20.0,8.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,42.0,760.0,395.0,405.0,149.0,6.0,2287.0,5.397605346934028e-79,9.0,9.0
52,3451.0,3.0,1.0,53.0,1.0,105.0,11861.0,3.0,5.397605346934028e-79,56.6057,517.0,84.0,39.0,45.0,5.397605346934028e-79,1.0,3.0,35.0,11.0,32.0,2.0,5.397605346934028e-79,65.0,7.0,62.0,5.397605346934028e-79,7.0,6.0,3.0,5.397605346934028e-79,1.0,27.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,25.0,3.0,20.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,8.0,43.0,23.0,26.0,12.0,5.397605346934028e-79,142.0,5.397605346934028e-79,1.0,5.397605346934028e-79
53,3451.0,3.0,1.0,54.0,1.0,107.0,20949.0,5.0,5.397605346934028e-79,82.5529,957.0,116.0,37.0,79.0,5.397605346934028e-79,5.397605346934028e-79,12.0,24.0,21.0,50.0,7.0,5.397605346934028e-79,132.0,7.0,64.0,5.397605346934028e-79,12.0,18.0,8.0,5.397605346934028e-79,5.397605346934028e-79,71.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,70.0,21.0,47.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,57.0,97.0,35.0,31.0,14.0,1.0,294.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
54,3451.0,3.0,1.0,55.0,1.0,109.0,29605.0,4.0,5.397605346934028e-79,92.0926,1281.0,218.0,73.0,145.0,7.0,7.0,13.0,45.0,40.0,99.0,6.0,5.397605346934028e-79,301.0,13.0,57.0,5.397605346934028e-79,16.0,26.0,7.0,5.397605346934028e-79,1.0,84.0,31.0,13.0,17.0,5.397605346934028e-79,5.397605346934028e-79,54.0,8.0,45.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,11.0,91.0,29.0,82.0,20.0,5.397605346934028e-79,324.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
55,3451.0,3.0,1.0,56.0,1.0,111.0,22380.0,4.0,5.397605346934028e-79,97.1403,1419.0,154.0,48.0,107.0,5.0,5.397605346934028e-79,4.0,38.0,23.0,76.0,8.0,5.397605346934028e-79,220.0,8.0,267.0,5.397605346934028e-79,6.0,24.0,9.0,5.397605346934028e-79,4.0,69.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,67.0,29.0,31.0,2.0,4.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,6.0,81.0,107.0,45.0,12.0,5.397605346934028e-79,405.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
